year,slam,surface,date,champion,champion_ioc,seed,age,runner_up,runner_up_ioc,score
2016,Roland Garros,Clay,20160523,Novak Djokovic,SRB,1,29,Andy Murray,GBR,3-6 6-1 6-2 6-4
2016,Wimbledon,Grass,20160627,Andy Murray,GBR,2,29,Milos Raonic,CAN,6-4 7-6(3) 7-6(2)
2016,US Open,Hard,20160829,Stan Wawrinka,SUI,3,31,Novak Djokovic,SRB,6-7(1) 6-4 7-5 6-3
2017,Australian Open,Hard,20170116,Roger Federer,SUI,17,35,Rafael Nadal,ESP,6-4 3-6 6-1 3-6 6-3
2017,Roland Garros,Clay,20170529,Rafael Nadal,ESP,4,30,Stan Wawrinka,SUI,6-2 6-3 6-1
2017,Wimbledon,Grass,20170703,Roger Federer,SUI,3,35,Marin Cilic,CRO,6-3 6-1 6-4
2017,US Open,Hard,20170828,Rafael Nadal,ESP,1,31,Kevin Anderson,RSA,6-3 6-3 6-4
2018,Australian Open,Hard,20180115,Roger Federer,SUI,2,36,Marin Cilic,CRO,6-2 6-7(5) 6-3 3-6 6-1
2018,Roland Garros,Clay,20180528,Rafael Nadal,ESP,1,31,Dominic Thiem,AUT,6-4 6-3 6-2
2018,Wimbledon,Grass,20180702,Novak Djokovic,SRB,12,31,Kevin Anderson,RSA,6-2 6-2 7-6(3)
2018,US Open,Hard,20180827,Novak Djokovic,SRB,6,31,Juan Martin del Potro,ARG,6-3 7-6(4) 6-3
2019,Australian Open,Hard,20190114,Novak Djokovic,SRB,1,31,Rafael Nadal,ESP,6-3 6-2 6-3
2019,Roland Garros,Clay,20190527,Rafael Nadal,ESP,2,32,Dominic Thiem,AUT,6-3 5-7 6-1 6-1
2019,Wimbledon,Grass,20190701,Novak Djokovic,SRB,1,32,Roger Federer,SUI,7-6(5) 1-6 7-6(4) 4-6 13-12(3)
2019,US Open,Hard,20190826,Rafael Nadal,ESP,2,33,Daniil Medvedev,RUS,7-5 6-3 5-7 4-6 6-4
2020,Australian Open,Hard,20200120,Novak Djokovic,SRB,2,32,Dominic Thiem,AUT,6-4 4-6 2-6 6-3 6-4
2020,US Open,Hard,20200831,Dominic Thiem,AUT,2,26,Alexander Zverev,GER,2-6 4-6 6-4 6-3 7-6(6)
2020,Roland Garros,Clay,20200928,Rafael Nadal,ESP,2,34,Novak Djokovic,SRB,6-0 6-2 7-5
2021,Australian Open,Hard,20210208,Novak Djokovic,SRB,1,33,Daniil Medvedev,RUS,7-5 6-2 6-2
2021,Roland Garros,Clay,20210531,Novak Djokovic,SRB,1,34,Stefanos Tsitsipas,GRE,6-7(6) 2-6 6-3 6-2 6-4
